Observation Count,Reporting_Location,Control,Test,Date,Cumulative Control,Cumulative Test
79,SAF0012,0,1,1/15/2023,0,1
80,SAF0013,1,0,1/15/2023,2,1
81,SAF0014,0,1,1/15/2023,0,2
82,SAF0015,1,1,1/15/2023,2,2
83,SAF0016,0,1,1/15/2023,1,2
84,SAF0017,0,1,1/15/2023,1,1
85,SAF0018,0,0,1/15/2023,0,0
86,SAF0019,0,1,1/15/2023,1,1
87,SAF0020,1,1,1/15/2023,1,2
88,SAF0021,1,0,1/15/2023,1,1
89,SAF0022,1,0,1/15/2023,1,1
90,SAF0023,1,1,1/15/2023,1,1
91,SAF0024,0,0,1/15/2023,0,1
92,SAF0025,0,0,1/15/2023,0,1
93,SAF0026,1,0,1/15/2023,2,0
94,SAF0027,1,0,1/15/2023,1,1
95,SAF0028,1,1,1/15/2023,1,2
96,SAF0029,1,1,1/15/2023,1,2
97,SAF0030,1,1,1/15/2023,1,1
98,SAF0031,0,0,1/15/2023,0,0
99,SAF0032,1,0,1/15/2023,2,0
100,SAF0033,0,1,1/15/2023,0,1
101,SAF0034,1,0,1/15/2023,2,0
102,SAF0035,1,0,1/15/2023,1,0
103,SAF0036,0,0,1/15/2023,0,0
104,SAF0037,0,0,1/15/2023,1,1
105,SAF0038,0,0,1/15/2023,0,1
106,SAF0039,0,0,1/15/2023,0,1
107,SAF0040,1,1,1/15/2023,2,2
108,SAF0041,0,0,1/15/2023,0,0
109,SAF0042,0,1,1/15/2023,1,1
110,SAF0043,0,0,1/15/2023,1,1
111,SAF0044,1,1,1/15/2023,2,1
112,SAF0045,0,0,1/15/2023,0,1
113,SAF0046,1,1,1/15/2023,2,1
114,SAF0047,0,0,1/15/2023,1,0
115,SAF0048,0,1,1/15/2023,0,2
116,SAF0049,0,0,1/15/2023,1,0
117,SAF0050,0,1,1/15/2023,1,1
118,SAF0051,0,0,1/15/2023,0,1
119,SAF0052,1,0,1/15/2023,2,0
120,SAF0053,1,1,1/15/2023,1,1
121,SAF0054,0,1,1/15/2023,0,2
122,SAF0055,0,0,1/15/2023,1,1
123,SAF0056,1,0,1/15/2023,2,1
124,SAF0057,1,0,1/15/2023,1,1
125,SAF0058,0,0,1/15/2023,0,0
126,SAF0059,0,1,1/15/2023,1,2
127,SAF0060,0,1,1/15/2023,1,2
128,SAF0061,1,1,1/15/2023,2,2
129,SAF0062,1,0,1/15/2023,1,0
130,SAF0063,1,0,1/15/2023,1,0
131,SAF0064,1,0,1/15/2023,2,1
132,SAF0065,1,0,1/15/2023,2,1
133,SAF0066,1,1,1/15/2023,2,2
134,SAF0067,0,0,1/15/2023,1,0
135,SAF0001,1,1,1/29/2023,2,2
136,SAF0002,1,1,1/29/2023,2,1
137,SAF0003,1,1,1/29/2023,2,1
138,SAF0004,0,1,1/29/2023,0,2
139,SAF0005,1,0,1/29/2023,1,1
140,SAF0006,0,0,1/29/2023,0,1
141,SAF0007,0,1,1/29/2023,1,2
142,SAF0008,1,1,1/29/2023,1,2
143,SAF0009,1,1,1/29/2023,2,1
144,SAF0010,0,1,1/29/2023,1,1
145,SAF0011,0,1,1/29/2023,0,1
146,SAF0012,0,1,1/29/2023,0,2
147,SAF0013,1,1,1/29/2023,2,1
148,SAF0014,0,1,1/29/2023,0,2
149,SAF0015,1,1,1/29/2023,2,2
150,SAF0016,0,0,1/29/2023,0,1
151,SAF0017,1,1,1/29/2023,1,2
152,SAF0018,1,1,1/29/2023,1,1
153,SAF0019,1,0,1/29/2023,1,1
154,SAF0020,1,0,1/29/2023,2,1
155,SAF0021,0,1,1/29/2023,1,1
156,SAF0022,1,1,1/29/2023,2,1
157,SAF0023,1,0,1/29/2023,2,1
158,SAF0024,0,0,1/29/2023,0,0
159,SAF0025,0,1,1/29/2023,0,1
160,SAF0026,1,0,1/29/2023,2,0
161,SAF0027,0,1,1/29/2023,1,1
162,SAF0028,0,0,1/29/2023,1,1
163,SAF0029,0,0,1/29/2023,1,1
164,SAF0030,0,1,1/29/2023,1,2
165,SAF0031,1,1,1/29/2023,1,1
166,SAF0032,0,1,1/29/2023,1,1
167,SAF0033,0,0,1/29/2023,0,1
168,SAF0034,1,1,1/29/2023,2,1
169,SAF0035,1,1,1/29/2023,2,1
170,SAF0036,1,0,1/29/2023,1,0
171,SAF0037,1,0,1/29/2023,1,0
172,SAF0038,1,1,1/29/2023,1,1
173,SAF0039,1,0,1/29/2023,1,0
174,SAF0040,1,0,1/29/2023,2,1
175,SAF0041,0,0,1/29/2023,0,0
176,SAF0042,0,1,1/29/2023,0,2
177,SAF0043,1,1,1/29/2023,1,1
178,SAF0044,0,1,1/29/2023,1,2
179,SAF0045,0,1,1/29/2023,0,1
180,SAF0046,0,1,1/29/2023,1,2
181,SAF0047,0,1,1/29/2023,0,1
182,SAF0048,0,1,1/29/2023,0,2
183,SAF0049,0,1,1/29/2023,0,1
184,SAF0050,1,1,1/29/2023,1,2
185,SAF0051,1,0,1/29/2023,1,0
186,SAF0052,0,0,1/29/2023,1,0
187,SAF0053,0,0,1/29/2023,1,1
188,SAF0054,1,0,1/29/2023,1,1
189,SAF0055,1,0,1/29/2023,1,0
190,SAF0056,0,0,1/29/2023,1,0
191,SAF0057,1,0,1/29/2023,2,0
192,SAF0058,0,1,1/29/2023,0,1
193,SAF0059,0,0,1/29/2023,0,1
194,SAF0060,0,1,1/29/2023,0,2
195,SAF0061,0,0,1/29/2023,1,1
196,SAF0062,1,1,1/29/2023,2,1
197,SAF0063,1,1,1/29/2023,2,1
198,SAF0064,1,1,1/29/2023,2,1
199,SAF0065,0,0,1/29/2023,1,0
200,SAF0066,1,0,1/29/2023,2,1
201,SAF0067,0,1,1/29/2023,0,1
202,SAF0001,0,1,2/12/2023,1,2
203,SAF0002,0,0,2/12/2023,1,1
204,SAF0003,1,0,2/12/2023,2,1
205,SAF0004,0,0,2/12/2023,0,1
206,SAF0005,1,1,2/12/2023,2,1
207,SAF0006,0,0,2/12/2023,0,0
208,SAF0007,0,0,2/12/2023,0,1
209,SAF0008,0,0,2/12/2023,1,1
210,SAF0009,0,0,2/12/2023,1,1
211,SAF0010,1,0,2/12/2023,1,1
212,SAF0011,1,0,2/12/2023,1,1
213,SAF0012,0,1,2/12/2023,0,2
214,SAF0013,0,1,2/12/2023,1,2
215,SAF0014,0,1,2/12/2023,0,2
216,SAF0015,1,0,2/12/2023,2,1
217,SAF0016,1,0,2/12/2023,1,0
218,SAF0017,1,1,2/12/2023,2,2
219,SAF0018,1,0,2/12/2023,2,1
220,SAF0019,0,0,2/12/2023,1,0
221,SAF0020,0,1,2/12/2023,1,1
222,SAF0021,0,1,2/12/2023,0,2
223,SAF0022,1,1,2/12/2023,2,2
224,SAF0023,0,0,2/12/2023,1,0
225,SAF0024,0,0,2/12/2023,0,0
226,SAF0025,0,1,2/12/2023,0,2
227,SAF0026,0,0,2/12/2023,1,0
228,SAF0027,0,1,2/12/2023,0,2
229,SAF0028,0,0,2/12/2023,0,0
230,SAF0029,1,0,2/12/2023,1,0
231,SAF0030,1,1,2/12/2023,1,2
232,SAF0031,0,0,2/12/2023,1,1
233,SAF0032,1,0,2/12/2023,1,1
234,SAF0033,0,1,2/12/2023,0,1
235,SAF0034,0,0,2/12/2023,1,1
236,SAF0035,1,0,2/12/2023,2,1
237,SAF0036,1,1,2/12/2023,2,1
238,SAF0037,1,0,2/12/2023,2,0
239,SAF0038,1,1,2/12/2023,2,2
240,SAF0039,0,0,2/12/2023,1,0
241,SAF0040,0,1,2/12/2023,1,1
242,SAF0041,0,1,2/12/2023,0,1
243,SAF0042,0,1,2/12/2023,0,2
244,SAF0043,1,1,2/12/2023,2,2
245,SAF0044,1,0,2/12/2023,1,1
246,SAF0045,0,0,2/12/2023,0,1
247,SAF0046,1,1,2/12/2023,1,2
248,SAF0047,1,1,2/12/2023,1,2
249,SAF0048,1,1,2/12/2023,1,2
250,SAF0049,1,1,2/12/2023,1,2
251,SAF0050,1,1,2/12/2023,2,2
252,SAF0051,0,0,2/12/2023,1,0
253,SAF0052,0,1,2/12/2023,0,1
254,SAF0053,0,0,2/12/2023,0,0
255,SAF0054,1,0,2/12/2023,2,0
256,SAF0055,0,0,2/12/2023,1,0
257,SAF0056,1,0,2/12/2023,1,0
258,SAF0057,0,1,2/12/2023,1,1
259,SAF0058,1,0,2/12/2023,1,1
260,SAF0059,1,1,2/12/2023,1,1
261,SAF0060,1,0,2/12/2023,1,1
262,SAF0061,1,1,2/12/2023,1,1
263,SAF0062,0,1,2/12/2023,1,2
264,SAF0063,0,1,2/12/2023,1,2
265,SAF0064,0,0,2/12/2023,1,1
266,SAF0065,0,0,2/12/2023,0,0
267,SAF0066,0,0,2/12/2023,1,0
268,SAF0067,0,0,2/12/2023,0,1
269,SAF0001,1,0,2/26/2023,1,1
270,SAF0002,1,0,2/26/2023,1,0
271,SAF0003,1,1,2/26/2023,2,1
272,SAF0004,1,1,2/26/2023,1,1
273,SAF0005,0,0,2/26/2023,1,1
274,SAF0006,0,1,2/26/2023,0,1
275,SAF0007,1,1,2/26/2023,1,1
276,SAF0008,0,0,2/26/2023,0,0
277,SAF0009,1,1,2/26/2023,1,1
278,SAF0010,1,1,2/26/2023,2,1
279,SAF0011,0,0,2/26/2023,1,0
280,SAF0012,0,1,2/26/2023,0,2
281,SAF0013,0,0,2/26/2023,0,1
282,SAF0014,1,0,2/26/2023,1,1
283,SAF0015,1,0,2/26/2023,2,0
284,SAF0016,0,1,2/26/2023,1,1
285,SAF0017,1,0,2/26/2023,2,1
286,SAF0018,1,1,2/26/2023,2,1
287,SAF0019,0,0,2/26/2023,0,0
288,SAF0020,1,1,2/26/2023,1,2
289,SAF0021,0,1,2/26/2023,0,2
290,SAF0022,1,1,2/26/2023,2,2
291,SAF0023,1,1,2/26/2023,1,1
292,SAF0024,0,0,2/26/2023,0,0
293,SAF0025,1,1,2/26/2023,1,2
294,SAF0026,1,1,2/26/2023,1,1
295,SAF0027,0,0,2/26/2023,0,1
296,SAF0028,0,0,2/26/2023,0,0
297,SAF0029,1,0,2/26/2023,2,0
298,SAF0030,1,0,2/26/2023,2,1
299,SAF0031,0,1,2/26/2023,0,1
300,SAF0032,1,1,2/26/2023,2,1
301,SAF0033,1,0,2/26/2023,1,1
302,SAF0034,1,1,2/26/2023,1,1
303,SAF0035,1,1,2/26/2023,2,1
304,SAF0036,1,0,2/26/2023,2,1
305,SAF0037,1,1,2/26/2023,2,1
306,SAF0038,1,0,2/26/2023,2,1
307,SAF0039,1,0,2/26/2023,1,0
308,SAF0040,1,0,2/26/2023,1,1
309,SAF0041,1,0,2/26/2023,1,1
310,SAF0042,0,1,2/26/2023,0,2
311,SAF0043,1,0,2/26/2023,2,1
312,SAF0044,0,1,2/26/2023,1,1
313,SAF0045,1,0,2/26/2023,1,0
314,SAF0046,0,0,2/26/2023,1,1
315,SAF0047,0,1,2/26/2023,1,2
316,SAF0048,1,0,2/26/2023,2,1
317,SAF0049,0,1,2/26/2023,1,2
318,SAF0050,0,0,2/26/2023,1,1
319,SAF0051,0,1,2/26/2023,0,1
320,SAF0052,1,1,2/26/2023,1,2
321,SAF0053,0,0,2/26/2023,0,0
322,SAF0054,1,0,2/26/2023,2,0
323,SAF0055,0,0,2/26/2023,0,0
324,SAF0056,1,0,2/26/2023,2,0
325,SAF0057,0,0,2/26/2023,0,1
326,SAF0058,1,0,2/26/2023,2,0
327,SAF0059,0,1,2/26/2023,1,2
328,SAF0060,0,0,2/26/2023,1,0
329,SAF0061,0,1,2/26/2023,1,2
330,SAF0062,1,0,2/26/2023,1,1
331,SAF0063,1,1,2/26/2023,1,2
332,SAF0064,0,0,2/26/2023,0,0
333,SAF0065,1,1,2/26/2023,1,1
334,SAF0066,0,0,2/26/2023,0,0
335,SAF0067,0,0,2/26/2023,0,0
336,SAF0001,0,0,3/12/2023,1,0
337,SAF0002,1,0,3/12/2023,2,0
338,SAF0003,0,1,3/12/2023,1,2
339,SAF0004,1,1,3/12/2023,2,2
340,SAF0005,0,1,3/12/2023,0,1
341,SAF0006,1,1,3/12/2023,1,2
342,SAF0007,1,0,3/12/2023,2,1
343,SAF0008,1,1,3/12/2023,1,1
344,SAF0009,0,1,3/12/2023,1,2
345,SAF0010,1,0,3/12/2023,2,1
346,SAF0011,0,1,3/12/2023,0,1
347,SAF0012,0,0,3/12/2023,0,1
348,SAF0013,0,1,3/12/2023,0,1
349,SAF0014,1,1,3/12/2023,2,1
350,SAF0015,0,0,3/12/2023,1,0
351,SAF0016,0,0,3/12/2023,0,1
352,SAF0017,1,1,3/12/2023,2,1
353,SAF0018,0,1,3/12/2023,1,2
354,SAF0019,0,1,3/12/2023,0,1
355,SAF0020,0,1,3/12/2023,1,2
356,SAF0021,1,1,3/12/2023,1,2
357,SAF0022,1,0,3/12/2023,2,1
358,SAF0023,0,1,3/12/2023,1,2
359,SAF0024,0,1,3/12/2023,0,1
360,SAF0025,1,1,3/12/2023,2,2
361,SAF0026,1,1,3/12/2023,2,2
362,SAF0027,1,1,3/12/2023,1,1
363,SAF0028,1,1,3/12/2023,1,1
364,SAF0029,0,0,3/12/2023,1,0
365,SAF0030,0,0,3/12/2023,1,0
366,SAF0031,0,0,3/12/2023,0,1
367,SAF0032,1,1,3/12/2023,2,2
368,SAF0033,1,1,3/12/2023,2,1
369,SAF0034,1,0,3/12/2023,2,1
370,SAF0035,0,0,3/12/2023,1,1
371,SAF0036,0,0,3/12/2023,1,0
372,SAF0037,0,1,3/12/2023,1,2
373,SAF0038,1,1,3/12/2023,2,1
374,SAF0039,0,0,3/12/2023,1,0
375,SAF0040,0,0,3/12/2023,1,0
376,SAF0041,0,1,3/12/2023,1,1
377,SAF0042,0,1,3/12/2023,0,2
378,SAF0043,0,1,3/12/2023,1,1
379,SAF0044,0,0,3/12/2023,0,1
380,SAF0045,0,0,3/12/2023,1,0
381,SAF0046,1,1,3/12/2023,1,1
382,SAF0047,0,0,3/12/2023,0,1
383,SAF0048,0,1,3/12/2023,1,1
384,SAF0049,1,0,3/12/2023,1,1
385,SAF0050,0,1,3/12/2023,0,1
386,SAF0051,1,1,3/12/2023,1,2
387,SAF0052,0,1,3/12/2023,1,2
388,SAF0053,0,1,3/12/2023,0,1
389,SAF0054,1,0,3/12/2023,2,0
390,SAF0055,0,0,3/12/2023,0,0
391,SAF0056,1,1,3/12/2023,2,1
392,SAF0057,0,1,3/12/2023,0,1
393,SAF0058,1,0,3/12/2023,2,0
394,SAF0059,1,1,3/12/2023,1,2
395,SAF0060,0,0,3/12/2023,0,0
396,SAF0061,1,1,3/12/2023,1,2
397,SAF0062,0,0,3/12/2023,1,0
398,SAF0063,1,1,3/12/2023,2,2
399,SAF0064,0,1,3/12/2023,0,1
400,SAF0065,0,1,3/12/2023,1,2
401,SAF0066,0,1,3/12/2023,0,1
402,SAF0067,1,0,3/12/2023,1,0
403,SAF0001,1,0,3/26/2023,1,0
404,SAF0002,0,1,3/26/2023,1,1
405,SAF0003,0,0,3/26/2023,0,1
406,SAF0004,0,0,3/26/2023,1,1
407,SAF0005,1,0,3/26/2023,1,1
408,SAF0006,0,1,3/26/2023,1,2
409,SAF0007,1,0,3/26/2023,2,0
410,SAF0008,1,0,3/26/2023,2,1
411,SAF0009,1,1,3/26/2023,1,2
412,SAF0010,0,1,3/26/2023,1,1
413,SAF0011,1,0,3/26/2023,1,1
414,SAF0012,0,1,3/26/2023,0,1
415,SAF0013,1,1,3/26/2023,1,2
416,SAF0014,0,1,3/26/2023,1,2
417,SAF0015,0,1,3/26/2023,0,1
418,SAF0016,1,0,3/26/2023,1,0
419,SAF0017,1,1,3/26/2023,2,2
420,SAF0018,1,1,3/26/2023,1,2
421,SAF0019,1,0,3/26/2023,1,1
422,SAF0020,0,0,3/26/2023,0,1
423,SAF0021,1,1,3/26/2023,2,2
424,SAF0022,1,1,3/26/2023,2,1
425,SAF0023,0,0,3/26/2023,0,1
426,SAF0024,1,0,3/26/2023,1,1
427,SAF0025,0,1,3/26/2023,1,2
428,SAF0026,0,1,3/26/2023,1,2
429,SAF0027,0,1,3/26/2023,1,2
430,SAF0028,0,0,3/26/2023,1,1
431,SAF0029,0,0,3/26/2023,0,0
432,SAF0030,1,0,3/26/2023,1,0
433,SAF0031,0,0,3/26/2023,0,0
434,SAF0032,0,1,3/26/2023,1,2
435,SAF0033,1,0,3/26/2023,2,1
436,SAF0034,1,1,3/26/2023,2,1
437,SAF0035,0,0,3/26/2023,0,0
438,SAF0036,1,1,3/26/2023,1,1
439,SAF0037,1,1,3/26/2023,1,2
440,SAF0038,0,1,3/26/2023,1,2
441,SAF0039,0,0,3/26/2023,0,0
442,SAF0040,1,0,3/26/2023,1,0
443,SAF0041,0,1,3/26/2023,0,2
444,SAF0042,0,1,3/26/2023,0,2
445,SAF0043,0,1,3/26/2023,0,2
446,SAF0044,1,1,3/26/2023,1,1
447,SAF0045,1,0,3/26/2023,1,0
448,SAF0046,0,0,3/26/2023,1,1
449,SAF0047,0,0,3/26/2023,0,0
450,SAF0048,0,0,3/26/2023,0,1
451,SAF0049,1,1,3/26/2023,2,1
452,SAF0050,0,1,3/26/2023,0,2
453,SAF0051,1,1,3/26/2023,2,2
454,SAF0052,1,1,3/26/2023,1,2
455,SAF0053,0,1,3/26/2023,0,2
456,SAF0054,1,0,3/26/2023,2,0
457,SAF0055,1,1,3/26/2023,1,1
458,SAF0056,0,0,3/26/2023,1,1
459,SAF0057,0,0,3/26/2023,0,1
460,SAF0058,1,0,3/26/2023,2,0
461,SAF0059,1,1,3/26/2023,2,2
462,SAF0060,1,0,3/26/2023,1,0
463,SAF0061,0,1,3/26/2023,1,2
464,SAF0062,1,0,3/26/2023,1,0
465,SAF0063,1,0,3/26/2023,2,1
466,SAF0064,0,0,3/26/2023,0,1
467,SAF0065,0,1,3/26/2023,0,2
468,SAF0066,1,0,3/26/2023,1,1
469,SAF0067,1,0,3/26/2023,2,0
470,SAF0001,1,1,4/9/2023,2,1
471,SAF0002,1,0,4/9/2023,1,1
472,SAF0003,0,1,4/9/2023,0,1
473,SAF0004,0,1,4/9/2023,0,1
474,SAF0005,1,0,4/9/2023,2,0
475,SAF0006,1,0,4/9/2023,1,1
476,SAF0007,1,0,4/9/2023,2,0
477,SAF0008,1,1,4/9/2023,2,1
478,SAF0009,0,1,4/9/2023,1,2
479,SAF0010,0,1,4/9/2023,0,2
480,SAF0011,1,1,4/9/2023,2,1
481,SAF0012,0,0,4/9/2023,0,1
482,SAF0013,1,0,4/9/2023,2,1
483,SAF0014,0,1,4/9/2023,0,2
484,SAF0015,0,0,4/9/2023,0,1
485,SAF0016,1,0,4/9/2023,2,0
486,SAF0017,1,0,4/9/2023,2,1
487,SAF0018,1,1,4/9/2023,2,2
488,SAF0019,0,0,4/9/2023,1,0
489,SAF0020,0,1,4/9/2023,0,1
490,SAF0021,1,1,4/9/2023,2,2
491,SAF0022,0,1,4/9/2023,1,2
492,SAF0023,0,1,4/9/2023,0,1
493,SAF0024,1,0,4/9/2023,2,0
494,SAF0025,1,0,4/9/2023,1,1
495,SAF0026,1,0,4/9/2023,1,1
496,SAF0027,0,0,4/9/2023,0,1
497,SAF0028,0,1,4/9/2023,0,1
498,SAF0029,1,0,4/9/2023,1,0
499,SAF0030,1,0,4/9/2023,2,0
500,SAF0031,0,0,4/9/2023,0,0
501,SAF0032,1,1,4/9/2023,1,2
502,SAF0033,0,0,4/9/2023,1,0
503,SAF0034,0,0,4/9/2023,1,1
504,SAF0035,0,1,4/9/2023,0,1
505,SAF0036,1,0,4/9/2023,2,1
506,SAF0037,0,0,4/9/2023,1,1
507,SAF0038,0,0,4/9/2023,0,1
508,SAF0039,1,1,4/9/2023,1,1
509,SAF0040,0,1,4/9/2023,1,1
510,SAF0041,0,1,4/9/2023,0,2
511,SAF0042,0,1,4/9/2023,0,2
512,SAF0043,0,0,4/9/2023,0,1
513,SAF0044,0,0,4/9/2023,1,1
514,SAF0045,1,0,4/9/2023,2,0
515,SAF0046,0,1,4/9/2023,0,1
516,SAF0047,0,1,4/9/2023,0,1
517,SAF0048,1,0,4/9/2023,1,0
518,SAF0049,1,1,4/9/2023,2,2
519,SAF0050,1,0,4/9/2023,1,1
520,SAF0051,0,0,4/9/2023,1,1
521,SAF0052,1,1,4/9/2023,2,2
522,SAF0053,1,1,4/9/2023,1,2
523,SAF0054,0,0,4/9/2023,1,0
524,SAF0055,0,0,4/9/2023,1,1
525,SAF0056,1,1,4/9/2023,1,1
526,SAF0057,0,1,4/9/2023,0,1
527,SAF0058,0,0,4/9/2023,1,0
528,SAF0059,1,0,4/9/2023,2,1
529,SAF0060,1,1,4/9/2023,2,1
530,SAF0061,1,0,4/9/2023,1,1
531,SAF0062,0,1,4/9/2023,1,1
532,SAF0063,0,1,4/9/2023,1,1
533,SAF0064,1,0,4/9/2023,1,0
534,SAF0065,1,1,4/9/2023,1,2
535,SAF0066,1,0,4/9/2023,2,0
536,SAF0067,1,1,4/9/2023,2,1
537,SAF0001,1,1,4/23/2023,2,2
538,SAF0002,0,1,4/23/2023,1,1
539,SAF0003,0,0,4/23/2023,0,1
540,SAF0004,1,0,4/23/2023,1,1
541,SAF0005,0,1,4/23/2023,1,1
542,SAF0006,0,1,4/23/2023,1,1
543,SAF0007,1,1,4/23/2023,2,1
544,SAF0008,0,0,4/23/2023,1,1
545,SAF0009,1,1,4/23/2023,1,2
546,SAF0010,1,1,4/23/2023,1,2
547,SAF0011,1,1,4/23/2023,2,2
548,SAF0012,1,0,4/23/2023,1,0
549,SAF0013,1,1,4/23/2023,2,1
550,SAF0014,1,1,4/23/2023,1,2
551,SAF0015,1,0,4/23/2023,1,0
552,SAF0016,1,0,4/23/2023,2,0
553,SAF0017,1,1,4/23/2023,2,1
554,SAF0018,1,0,4/23/2023,2,1
555,SAF0019,0,0,4/23/2023,0,0
556,SAF0020,1,0,4/23/2023,1,1
557,SAF0021,1,1,4/23/2023,2,2
558,SAF0022,0,0,4/23/2023,0,1
559,SAF0023,0,1,4/23/2023,0,2
560,SAF0024,1,1,4/23/2023,2,1
561,SAF0025,1,1,4/23/2023,2,1
562,SAF0026,1,0,4/23/2023,2,0
563,SAF0027,0,0,4/23/2023,0,0
564,SAF0028,0,0,4/23/2023,0,1
565,SAF0029,1,0,4/23/2023,2,0
566,SAF0030,0,1,4/23/2023,1,1
567,SAF0031,1,0,4/23/2023,1,0
568,SAF0032,1,1,4/23/2023,2,2
569,SAF0033,0,1,4/23/2023,0,1
570,SAF0034,0,0,4/23/2023,0,0
571,SAF0035,1,0,4/23/2023,1,1
572,SAF0036,1,1,4/23/2023,2,1
573,SAF0037,0,1,4/23/2023,0,1
574,SAF0038,0,0,4/23/2023,0,0
575,SAF0039,1,1,4/23/2023,2,2
576,SAF0040,1,0,4/23/2023,1,1
577,SAF0041,1,1,4/23/2023,1,2
578,SAF0042,1,1,4/23/2023,1,2
579,SAF0043,0,0,4/23/2023,0,0
580,SAF0044,1,0,4/23/2023,1,0
581,SAF0045,1,1,4/23/2023,2,1
582,SAF0046,0,1,4/23/2023,0,2
583,SAF0047,0,0,4/23/2023,0,1
584,SAF0048,1,1,4/23/2023,2,1
585,SAF0049,1,1,4/23/2023,2,2
586,SAF0050,1,1,4/23/2023,2,1
587,SAF0051,1,0,4/23/2023,1,0
588,SAF0052,1,0,4/23/2023,2,1
589,SAF0053,0,0,4/23/2023,1,1
590,SAF0054,1,1,4/23/2023,1,1
591,SAF0055,1,1,4/23/2023,1,1
592,SAF0056,1,1,4/23/2023,2,2
593,SAF0057,1,1,4/23/2023,1,2
594,SAF0058,0,1,4/23/2023,0,1
595,SAF0059,1,0,4/23/2023,2,0
596,SAF0060,0,1,4/23/2023,1,2
597,SAF0061,0,1,4/23/2023,1,1
598,SAF0062,0,1,4/23/2023,0,2
599,SAF0063,1,1,4/23/2023,1,2
600,SAF0064,0,0,4/23/2023,1,0
601,SAF0065,0,1,4/23/2023,1,2
602,SAF0066,0,0,4/23/2023,1,0
603,SAF0067,1,1,4/23/2023,2,2
604,SAF0001,1,1,5/7/2023,2,2
605,SAF0002,0,0,5/7/2023,0,1
